action,observation.state,timestamp,frame_index,episode_index,index,task_index
"[-1.9073777e-04  1.0469596e+00  5.2281225e-01  6.2008852e-01
  5.7221332e-04  5.7221332e-04 -6.5948814e-05 -5.7221332e-04
  1.0465782e+00  5.2281225e-01  6.2161440e-01 -9.5368887e-04
 -5.7221332e-04  1.6689301e-06  0.0000000e+00 -0.0000000e+00]","[-1.9073777e-04  1.0469596e+00  5.2166784e-01  6.1741817e-01
 -1.7166400e-03 -2.4795909e-03  1.5832484e-06 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.1741817e-01  9.5368887e-04
 -5.7221332e-04  8.2589686e-06  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.2,10,0,10,0
"[ 1.9073777e-04  1.0469596e+00  5.2281225e-01  6.2008852e-01
  5.7221332e-04  5.7221332e-04 -6.9286674e-05 -5.7221332e-04
  1.0465782e+00  5.2281225e-01  6.2123293e-01 -9.5368887e-04
 -5.7221332e-04 -3.5047531e-05  0.0000000e+00 -0.0000000e+00]","[ 1.9073777e-04  1.0469596e+00  5.2166784e-01  6.1741817e-01
 -1.7166400e-03 -2.4795909e-03  1.5832484e-06 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.1741817e-01  9.5368887e-04
 -9.5368887e-04  1.8272549e-05  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.22,11,0,11,0
"[ 1.9073777e-04  1.0469596e+00  5.2281225e-01  6.2008852e-01
  5.7221332e-04  5.7221332e-04 -6.5948814e-05 -5.7221332e-04
  1.0465782e+00  5.2281225e-01  6.2123293e-01 -9.5368887e-04
 -5.7221332e-04 -3.1709671e-05  0.0000000e+00 -0.0000000e+00]","[ 1.9073777e-04  1.0469596e+00  5.2166784e-01  6.1779964e-01
 -1.7166400e-03 -2.4795909e-03  1.5832484e-06 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.1741817e-01  9.5368887e-04
 -5.7221332e-04  1.4934689e-05  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.24,12,0,12,0
"[-1.90737774e-04  1.04695964e+00  5.22812247e-01  6.20088518e-01
  5.72213321e-04  5.72213321e-04 -6.59488142e-05 -9.53688868e-04
  1.04657817e+00  5.22812247e-01  6.21232927e-01 -9.53688868e-04
 -5.72213321e-04 -1.50203705e-05  0.00000000e+00 -0.00000000e+00]","[ 1.9073777e-04  1.0469596e+00  5.2166784e-01  6.1741817e-01
 -1.7166400e-03 -2.4795909e-03 -1.7546117e-06 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.1703670e-01  9.5368887e-04
 -9.5368887e-04  1.1596829e-05  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.26,13,0,13,0
"[-1.9073777e-04  1.0469596e+00  5.2281225e-01  6.2008852e-01
  5.7221332e-04  5.7221332e-04 -6.5948814e-05 -5.7221332e-04
  1.0465782e+00  5.2281225e-01  6.2085146e-01 -9.5368887e-04
 -5.7221332e-04 -1.1682510e-05  0.0000000e+00 -0.0000000e+00]","[-9.5368887e-04  1.0469596e+00  5.2166784e-01  6.1741817e-01
 -1.7166400e-03 -2.4795909e-03  1.5832484e-06 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.1627376e-01  9.5368887e-04
 -9.5368887e-04  1.4934689e-05  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.28,14,0,14,0
"[-1.9073777e-04  1.0469596e+00  5.2281225e-01  6.2008852e-01
  5.7221332e-04  5.7221332e-04 -6.9286674e-05 -5.7221332e-04
  1.0465782e+00  5.2281225e-01  6.2085146e-01 -9.5368887e-04
 -5.7221332e-04 -3.1709671e-05  0.0000000e+00 -0.0000000e+00]","[-5.7221332e-04  1.0469596e+00  5.2166784e-01  6.1741817e-01
 -1.7166400e-03 -2.4795909e-03  1.5832484e-06 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.1627376e-01  9.5368887e-04
 -9.5368887e-04  1.8272549e-05  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.3,15,0,15,0
"[-1.9073777e-04  1.0469596e+00  5.2281225e-01  6.2008852e-01
  5.7221332e-04  5.7221332e-04 -6.9286674e-05 -5.7221332e-04
  1.0465782e+00  5.2281225e-01  6.2046999e-01 -9.5368887e-04
 -5.7221332e-04  1.6689301e-06  0.0000000e+00 -0.0000000e+00]","[ 1.9073777e-04  1.0469596e+00  5.2166784e-01  6.1741817e-01
 -1.7166400e-03 -2.4795909e-03 -1.7546117e-06 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.1627376e-01  9.5368887e-04
 -9.5368887e-04  1.1596829e-05  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.32,16,0,16,0
"[-1.9073777e-04  1.0469596e+00  5.2281225e-01  6.2008852e-01
  5.7221332e-04  5.7221332e-04 -6.5948814e-05 -5.7221332e-04
  1.0465782e+00  5.2281225e-01  6.2008852e-01 -9.5368887e-04
 -5.7221332e-04 -2.1696091e-05  0.0000000e+00 -0.0000000e+00]","[-9.5368887e-04  1.0469596e+00  5.2166784e-01  6.1741817e-01
 -1.7166400e-03 -2.4795909e-03  1.5832484e-06 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.1589229e-01  9.5368887e-04
 -9.5368887e-04  1.1596829e-05  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.34,17,0,17,0
"[-1.9073777e-04  1.0469596e+00  5.2281225e-01  6.2008852e-01
  5.7221332e-04  5.7221332e-04 -6.5948814e-05 -5.7221332e-04
  1.0465782e+00  5.2281225e-01  6.2008852e-01 -9.5368887e-04
 -5.7221332e-04 -3.1709671e-05  0.0000000e+00 -0.0000000e+00]","[-9.5368887e-04  1.0469596e+00  5.2166784e-01  6.1741817e-01
 -1.7166400e-03 -2.4795909e-03 -1.7546117e-06 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.1627376e-01  9.5368887e-04
 -5.7221332e-04  1.8272549e-05  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.36,18,0,18,0
"[ 1.9073777e-04  1.0469596e+00  5.2281225e-01  6.2008852e-01
  5.7221332e-04  5.7221332e-04 -6.9286674e-05 -5.7221332e-04
  1.0465782e+00  5.2281225e-01  6.2008852e-01 -9.5368887e-04
 -5.7221332e-04 -1.1682510e-05  0.0000000e+00 -0.0000000e+00]","[-1.9073777e-04  1.0469596e+00  5.2166784e-01  6.1741817e-01
 -1.7166400e-03 -2.4795909e-03  1.5832484e-06 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.1589229e-01  9.5368887e-04
 -9.5368887e-04  1.1596829e-05  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.38,19,0,19,0
